식당이름,CTGRY_TWO_NM,주소
금문도,동아시아음식,인천광역시 계양구 효서로 268
금용문,동아시아음식,서울특별시 종로구 새문안로5가길 7
금토일샴페인빠,동남아시아음식,서울특별시 용산구 대사관로34길 26
기네스72,동남아시아음식,서울특별시 용산구 이태원로27가길 58
기린초밥,동아시아음식,전라북도 전주시 덕진구 안전로 154
기소야 원주점,동아시아음식,강원도 원주시 만대로 7-1
기욤,유럽음식,서울특별시 강남구 선릉로152길 17
긴꼬리초밥,동아시아음식,경기도 부천시 상동로 84
긴스시,동아시아음식,서울특별시 용산구 이촌로 319
긴자 백현점,동아시아음식,경기도 성남시 분당구 판교백현로 37
긴자 서현점,동아시아음식,경기도 성남시 분당구 새마을로 75
긴자 수원인계점,동아시아음식,경기도 수원시 팔달구 경수대로 494
긴자 신영통점,동아시아음식,경기도 수원시 영통구 봉영로 1377
긴자료코 부산센텀점,동아시아음식,부산광역시 해운대구 센텀동로 9
긴자인도레스토랑,인도아시아음식,경기도 군포시 산본로323번길 16-31
긴자인도레스토랑,동남아시아음식,경기도 안산시 단원구 광덕대로 151
긴자인도레스토랑,인도아시아음식,경기도 안산시 상록구 한양대학로 45-1
긴자인도레스토랑,인도아시아음식,경기도 안양시 동안구 평촌대로217번길 19
긴타코,동아시아음식,경기도 하남시 미사대로 750
길거리쌀국수,동남아시아음식,서울특별시 동작구 노량진로 174
길리추팡,동아시아음식,제주특별자치도 서귀포시 중문관광로 294
길버트버거,북미음식,서울특별시 강남구 도산대로15길 47
길조,동아시아음식,경기도 양평군 강상면 독배길 32-25
김녕함바그집,동아시아음식,제주특별자치도 제주시 구좌읍 김녕로21길 9
김반미,동남아시아음식,경기도 광주시 경안안길 73-1
김뽀티식당,동남아시아음식,전라북도 정읍시 조곡천1길 24-1
김쉐프36개스시,동아시아음식,대전광역시 동구 동대전로 129
김씨양꼬치,동아시아음식,부산광역시 강서구 과학산단2로20번길 14
김씨화덕,유럽음식,경상남도 김해시 율하카페길 85-9
김태욱초밥참치,동아시아음식,전라남도 여수시 예울마루로 35-38
김파퍼베트남쌀국수,동남아시아음식,경기도 부천시 소삼로 46
김행,동남아시아음식,대구광역시 서구 서대구로62길 54
까델루뽀,유럽음식,서울특별시 종로구 자하문로16길 5-5
까델지니,동남아시아음식,인천광역시 연수구 송도과학로 56
까르보네,유럽음식,서울특별시 서초구 언남1길 4
까르보네 장유점,유럽음식,경상남도 김해시 능동로167번길 1
까르보네 호매실점,유럽음식,경기도 수원시 권선구 금곡로102번길 15
까리노,유럽음식,경기도 수원시 팔달구 권광로207번길 29
